state,year,annual_factor_g_per_kwh,source,dataset_version
NSW,2021,790,NGAF,2021-1
NSW,2022,730,NGAF,2022-1
NSW,2023,680,NGAF,2023-1
NSW,2024,660,NGAF,2024-1
NSW,2025,640,NGAF,2025-1
VIC,2021,960,NGAF,2021-1
VIC,2022,850,NGAF,2022-1
VIC,2023,790,NGAF,2023-1
VIC,2024,770,NGAF,2024-1
VIC,2025,780,NGAF,2025-1
QLD,2021,800,NGAF,2021-1
QLD,2022,730,NGAF,2022-1
QLD,2023,730,NGAF,2023-1
QLD,2024,710,NGAF,2024-1
QLD,2025,670,NGAF,2025-1
SA,2021,350,NGAF,2021-1
SA,2022,250,NGAF,2022-1
SA,2023,250,NGAF,2023-1
SA,2024,230,NGAF,2024-1
SA,2025,220,NGAF,2025-1
TAS,2021,160,NGAF,2021-1
TAS,2022,170,NGAF,2022-1
TAS,2023,120,NGAF,2023-1
TAS,2024,150,NGAF,2024-1
TAS,2025,200,NGAF,2025-1
