emissions_period_code,consumption_kwh
20250101001,1.2
20250101002,1.14
20250101003,0.81
20250101004,0.89
20250101005,0.95
20250101006,1.15
20250101007,1.12
20250101008,1.07
20250101009,1.02
20250101010,1.04
20250101011,1.19
20250101012,1.18
20250101013,2.32
20250101014,1.81
20250101015,1.51
20250101016,1.25
20250101017,2.29
20250101018,1.94
20250101019,1.67
20250101020,2.11
20250101021,1.44
20250101022,1.87
20250101023,2.06
20250101024,1.29
20250101025,4.43
20250101026,2.91
20250101027,3.3
20250101028,3.73
20250101029,4.25
20250101030,4.33
20250101031,3.45
20250101032,3.51
20250101033,2.85
20250101034,4.21
20250101035,3.55
20250101036,4.09
20250101037,4.45
20250101038,3.9
20250101039,4.06
20250101040,3.71
20250101041,3.51
20250101042,3.48
20250101043,3.19
20250101044,2.99
20250101045,2.7
20250101046,2.88
20250101047,2.65
20250101048,2.44
20250102001,1.18
20250102002,0.9
20250102003,0.88
20250102004,0.81
20250102005,1.16
20250102006,1.15
20250102007,1.18
20250102008,1.19
20250102009,0.86
20250102010,0.89
20250102011,1.18
20250102012,0.98
20250102013,1.55
20250102014,2.09
20250102015,1.68
20250102016,1.77
20250102017,2.33
20250102018,2.32
20250102019,1.93
20250102020,2.0
20250102021,1.87
20250102022,2.17
20250102023,2.18
20250102024,2.11
20250102025,2.91
20250102026,3.89
20250102027,4.38
20250102028,3.07
20250102029,3.13
20250102030,2.62
20250102031,2.97
20250102032,4.21
20250102033,4.44
20250102034,3.27
20250102035,4.09
20250102036,3.09
20250102037,4.41
20250102038,4.2
20250102039,4.26
20250102040,4.13
20250102041,3.89
20250102042,3.7
20250102043,3.57
20250102044,3.42
20250102045,2.79
20250102046,2.95
20250102047,2.87
20250102048,2.27
20250103001,1.03
20250103002,1.11
20250103003,1.06
20250103004,0.94
20250103005,1.13
20250103006,0.98
20250103007,0.83
20250103008,1.11
20250103009,0.93
20250103010,0.88
20250103011,0.9
20250103012,0.87
20250103013,1.66
20250103014,2.18
20250103015,1.75
20250103016,1.98
20250103017,1.59
20250103018,1.45
20250103019,1.66
20250103020,1.37
20250103021,2.46
20250103022,1.24
20250103023,2.46
20250103024,1.78
20250103025,4.29
20250103026,3.47
20250103027,4.09
20250103028,3.25
20250103029,3.94
20250103030,2.85
20250103031,3.06
20250103032,3.27
20250103033,2.88
20250103034,4.17
20250103035,4.08
20250103036,2.71
20250103037,4.53
20250103038,4.38
20250103039,3.92
20250103040,3.68
20250103041,3.61
20250103042,3.31
20250103043,3.48
20250103044,3.42
20250103045,2.82
20250103046,2.62
20250103047,2.88
20250103048,2.54
