timestamp,consumption_kwh
2025-01-01 00:00:00,0.45
2025-01-01 00:05:00,0.44
2025-01-01 00:10:00,0.43
2025-01-01 00:15:00,0.42
2025-01-01 00:20:00,0.41
2025-01-01 00:25:00,0.4
2025-01-01 00:30:00,0.39
2025-01-01 00:35:00,0.38
2025-01-01 00:40:00,0.37
2025-01-01 00:45:00,0.36
2025-01-01 00:50:00,0.35
2025-01-01 00:55:00,0.34
2025-01-01 01:00:00,0.33
2025-01-01 01:05:00,0.32
2025-01-01 01:10:00,0.31
2025-01-01 01:15:00,0.3
2025-01-01 01:20:00,0.29
2025-01-01 01:25:00,0.28
2025-01-01 01:30:00,0.27
2025-01-01 01:35:00,0.26
2025-01-01 01:40:00,0.25
2025-01-01 01:45:00,0.24
2025-01-01 01:50:00,0.23
2025-01-01 01:55:00,0.22
2025-01-01 02:00:00,0.21
2025-01-01 02:05:00,0.2
2025-01-01 02:10:00,0.19
2025-01-01 02:15:00,0.18
2025-01-01 02:20:00,0.17
2025-01-01 02:25:00,0.16
2025-01-01 02:30:00,0.15
2025-01-01 02:35:00,0.14
2025-01-01 02:40:00,0.13
2025-01-01 02:45:00,0.12
2025-01-01 02:50:00,0.11
2025-01-01 02:55:00,0.1
2025-01-01 03:00:00,0.25
2025-01-01 03:05:00,0.27
2025-01-01 03:10:00,0.28
2025-01-01 03:15:00,0.3
2025-01-01 03:20:00,0.32
2025-01-01 03:25:00,0.34
2025-01-01 03:30:00,0.35
2025-01-01 03:35:00,0.37
2025-01-01 03:40:00,0.39
2025-01-01 03:45:00,0.4
2025-01-01 03:50:00,0.42
2025-01-01 03:55:00,0.44
2025-01-01 04:00:00,0.45
2025-01-01 04:05:00,0.47
2025-01-01 04:10:00,0.49
2025-01-01 04:15:00,0.51
2025-01-01 04:20:00,0.52
2025-01-01 04:25:00,0.54
2025-01-01 04:30:00,0.56
2025-01-01 04:35:00,0.57
2025-01-01 04:40:00,0.59
2025-01-01 04:45:00,0.61
2025-01-01 04:50:00,0.62
2025-01-01 04:55:00,0.64
2025-01-01 05:00:00,0.66
2025-01-01 05:05:00,0.68
2025-01-01 05:10:00,0.69
2025-01-01 05:15:00,0.71
2025-01-01 05:20:00,0.73
2025-01-01 05:25:00,0.74
2025-01-01 05:30:00,0.76
2025-01-01 05:35:00,0.78
2025-01-01 05:40:00,0.79
2025-01-01 05:45:00,0.81
2025-01-01 05:50:00,0.83
2025-01-01 05:55:00,0.85
2025-01-01 06:00:00,0.86
2025-01-01 06:05:00,0.88
2025-01-01 06:10:00,0.9
2025-01-01 06:15:00,0.91
2025-01-01 06:20:00,0.93
2025-01-01 06:25:00,0.95
2025-01-01 06:30:00,0.96
2025-01-01 06:35:00,0.98
2025-01-01 06:40:00,1.0
2025-01-01 06:45:00,1.02
2025-01-01 06:50:00,1.03
2025-01-01 06:55:00,1.05
2025-01-01 07:00:00,1.07
2025-01-01 07:05:00,1.08
2025-01-01 07:10:00,1.1
2025-01-01 07:15:00,1.12
2025-01-01 07:20:00,1.13
2025-01-01 07:25:00,1.15
2025-01-01 07:30:00,1.17
2025-01-01 07:35:00,1.19
2025-01-01 07:40:00,1.2
2025-01-01 07:45:00,1.22
2025-01-01 07:50:00,1.24
2025-01-01 07:55:00,1.25
2025-01-01 08:00:00,1.28
2025-01-01 08:05:00,1.29
2025-01-01 08:10:00,1.3
2025-01-01 08:15:00,1.31
2025-01-01 08:20:00,1.32
2025-01-01 08:25:00,1.33
2025-01-01 08:30:00,1.34
2025-01-01 08:35:00,1.35
2025-01-01 08:40:00,1.36
2025-01-01 08:45:00,1.37
2025-01-01 08:50:00,1.38
2025-01-01 08:55:00,1.39
2025-01-01 09:00:00,1.4
2025-01-01 09:05:00,1.41
2025-01-01 09:10:00,1.42
2025-01-01 09:15:00,1.43
2025-01-01 09:20:00,1.44
2025-01-01 09:25:00,1.45
2025-01-01 09:30:00,1.46
2025-01-01 09:35:00,1.47
2025-01-01 09:40:00,1.48
2025-01-01 09:45:00,1.49
2025-01-01 09:50:00,1.5
2025-01-01 09:55:00,1.51
2025-01-01 10:00:00,1.52
2025-01-01 10:05:00,1.53
2025-01-01 10:10:00,1.54
2025-01-01 10:15:00,1.55
2025-01-01 10:20:00,1.56
2025-01-01 10:25:00,1.57
2025-01-01 10:30:00,1.58
2025-01-01 10:35:00,1.59
2025-01-01 10:40:00,1.6
2025-01-01 10:45:00,1.61
2025-01-01 10:50:00,1.62
2025-01-01 10:55:00,1.63
2025-01-01 11:00:00,1.64
2025-01-01 11:05:00,1.65
2025-01-01 11:10:00,1.66
2025-01-01 11:15:00,1.67
2025-01-01 11:20:00,1.68
2025-01-01 11:25:00,1.69
2025-01-01 11:30:00,1.7
2025-01-01 11:35:00,1.71
2025-01-01 11:40:00,1.72
2025-01-01 11:45:00,1.73
2025-01-01 11:50:00,1.74
2025-01-01 11:55:00,1.75
2025-01-01 12:00:00,1.76
2025-01-01 12:05:00,1.77
2025-01-01 12:10:00,1.78
2025-01-01 12:15:00,1.79
2025-01-01 12:20:00,1.8
2025-01-01 12:25:00,1.81
2025-01-01 12:30:00,1.82
2025-01-01 12:35:00,1.83
2025-01-01 12:40:00,1.84
2025-01-01 12:45:00,1.85
2025-01-01 12:50:00,1.86
2025-01-01 12:55:00,1.87
2025-01-01 13:00:00,1.88
2025-01-01 13:05:00,1.89
2025-01-01 13:10:00,1.9
2025-01-01 13:15:00,1.91
2025-01-01 13:20:00,1.92
2025-01-01 13:25:00,1.93
2025-01-01 13:30:00,1.94
2025-01-01 13:35:00,1.95
2025-01-01 13:40:00,1.96
2025-01-01 13:45:00,1.97
2025-01-01 13:50:00,1.98
2025-01-01 13:55:00,1.99
2025-01-01 14:00:00,2.0
2025-01-01 14:05:00,2.01
2025-01-01 14:10:00,2.02
2025-01-01 14:15:00,2.03
2025-01-01 14:20:00,2.04
2025-01-01 14:25:00,2.05
2025-01-01 14:30:00,2.06
2025-01-01 14:35:00,2.07
2025-01-01 14:40:00,2.08
2025-01-01 14:45:00,2.09
2025-01-01 14:50:00,2.1
2025-01-01 14:55:00,2.11
2025-01-01 15:00:00,2.12
2025-01-01 15:05:00,2.13
2025-01-01 15:10:00,2.14
2025-01-01 15:15:00,2.15
2025-01-01 15:20:00,2.16
2025-01-01 15:25:00,2.17
2025-01-01 15:30:00,2.18
2025-01-01 15:35:00,2.19
2025-01-01 15:40:00,2.2
2025-01-01 15:45:00,2.21
2025-01-01 15:50:00,2.22
2025-01-01 15:55:00,2.23
2025-01-01 16:00:00,2.24
2025-01-01 16:05:00,2.23
2025-01-01 16:10:00,2.22
2025-01-01 16:15:00,2.21
2025-01-01 16:20:00,2.2
2025-01-01 16:25:00,2.19
2025-01-01 16:30:00,2.18
2025-01-01 16:35:00,2.17
2025-01-01 16:40:00,2.16
2025-01-01 16:45:00,2.15
2025-01-01 16:50:00,2.14
2025-01-01 16:55:00,2.13
2025-01-01 17:00:00,2.12
2025-01-01 17:05:00,2.11
2025-01-01 17:10:00,2.1
2025-01-01 17:15:00,2.09
2025-01-01 17:20:00,2.08
2025-01-01 17:25:00,2.07
2025-01-01 17:30:00,2.06
2025-01-01 17:35:00,2.05
2025-01-01 17:40:00,2.04
2025-01-01 17:45:00,2.03
2025-01-01 17:50:00,2.02
2025-01-01 17:55:00,2.01
2025-01-01 18:00:00,2.0
2025-01-01 18:05:00,1.99
2025-01-01 18:10:00,1.98
2025-01-01 18:15:00,1.97
2025-01-01 18:20:00,1.96
2025-01-01 18:25:00,1.95
