emissions_period_code,consumption_kwh
20250101001,1.05
20250101002,0.84
20250101003,0.93
20250101004,1.09
20250101005,0.81
20250101006,1.16
20250101007,0.9
20250101008,0.97
20250101009,1.04
20250101010,0.87
20250101011,0.88
20250101012,0.82
20250101013,2.18
20250101014,1.71
20250101015,1.44
20250101016,1.59
20250101017,1.92
20250101018,1.51
20250101019,1.43
20250101020,1.41
20250101021,2.04
20250101022,2.36
20250101023,1.54
20250101024,1.93
20250101025,3.59
20250101026,3.54
20250101027,2.72
20250101028,4.0
20250101029,3.43
20250101030,2.55
20250101031,3.99
20250101032,4.17
20250101033,2.77
20250101034,3.56
20250101035,2.77
20250101036,2.77
20250101037,4.48
20250101038,4.42
20250101039,4.29
20250101040,4.12
20250101041,3.76
20250101042,3.47
20250101043,3.04
20250101044,3.13
20250101045,3.19
20250101046,3.01
20250101047,2.51
20250101048,2.31
20250102001,1.16
20250102002,0.86
20250102003,1.17
20250102004,1.07
20250102005,1.01
20250102006,1.03
20250102007,1.09
20250102008,1.16
20250102009,0.95
20250102010,1.03
20250102011,0.8
20250102012,1.1
20250102013,2.11
20250102014,1.75
20250102015,1.72
20250102016,1.42
20250102017,1.7
20250102018,1.47
20250102019,1.95
20250102020,1.34
20250102021,1.97
20250102022,2.33
20250102025,1.83
20250102024,2.08
20250102025,2.89
20250102026,3.59
20250102027,4.13
20250102028,3.48
20250102029,4.14
20250102030,4.41
20250102031,4.21
20250102032,2.84
20250102033,3.81
20250102034,3.71
20250102035,2.5
20250102036,3.24
20250102037,4.62
20250102038,3.97
20250102039,3.84
20250102040,3.96
20250102041,3.93
20250102042,3.37
20250102043,3.35
20250102044,3.21
20250102045,2.96
20250102046,2.74
20250102047,2.85
20250102048,2.36
20250103001,1.02
20250103002,0.89
20250103003,1.09
20250103004,1.12
20250103005,1.11
20250103006,1.04
20250103007,1.07
20250103008,0.89
20250103009,0.82
20250103010,0.94
20250103011,0.87
20250103012,0.98
20250103013,2.16
20250103014,1.77
20250103015,2.09
20250103016,2.11
20250103017,2.44
20250103018,2.07
20250103019,1.49
20250103020,2.45
20250103021,1.57
20250103022,2.38
20250103023,1.7
20250103024,1.57
20250103025,4.03
20250103026,2.98
20250103027,3.43
20250103028,4.25
20250103029,2.93
20250103030,3.24
20250103031,2.59
20250103032,3.52
20250103033,2.68
20250103034,4.17
20250103035,2.62
20250103036,3.6
20250103037,4.25
20250103038,4.01
20250103039,4.22
20250103040,3.55
20250103041,3.6
20250103042,3.35
20250103043,3.24
20250103044,3.36
20250103045,3.14
20250103046,2.89
20250103047,2.96
20250103048,2.78
